,Datetime,Tweet_Id,Text,Source,Favorite Count,Retweets
0,2020-07-18 18:32:23,1284556638116970496,#IkoKaziKE #njugush #MaishaConcertFriday #BLM #BlackTwitter #KOTLoyals https://t.co/bOsDKYMZ3k,Twitter for iPhone,0,0
1,2020-07-18 18:31:47,1284556488686657536,"RT @johnnjenga: Job Vacancies
Assistang driver salesman - 6 posts
#IkoKaziKE https://t.co/Wa6lN5ofwm",Twitter for Android,0,235
2,2020-07-18 18:19:31,1284553402178048002,RT @MissGatheca: #IkoKaziKE . Urgently looking for a  salesperson who is also a licensed driver with experience in FMCGs .,Twitter Web App,0,58
3,2020-07-18 18:11:53,1284551479194419200,"RT @moseslucas2: For The Best Car Deals, ☎️ 0707763341 or Inbox @moseslucas2

Low Deposit, Friendly &amp; Agreeable Payment Terms, Foreign or L…",Twitter for Android,0,19
4,2020-07-18 18:09:20,1284550837977649153,"RT @JesseKimani10: I’m a Data Entry Clerk, looking for any vacancy in my field ( Administrative Skills,Inventory, Bookkeeping and clerical…",Twitter for Android,0,142
5,2020-07-18 17:46:37,1284545121980223491,"RT @johnnjenga: Job Vacancies
Assistang driver salesman - 6 posts
#IkoKaziKE https://t.co/Wa6lN5ofwm",Twitter for Android,0,235
6,2020-07-18 17:39:00,1284543205921501188,"RT @johnnjenga: Job Vacancies
Assistang driver salesman - 6 posts
#IkoKaziKE https://t.co/Wa6lN5ofwm",Twitter for Android,0,235
7,2020-07-18 17:37:22,1284542793457819648,"RT @johnnjenga: Job Vacancies
Assistang driver salesman - 6 posts
#IkoKaziKE https://t.co/Wa6lN5ofwm",Twitter for Android,0,235
8,2020-07-18 17:33:30,1284541821209784320,"RT @willardlusimbo: [Aluminium, UPVC &amp;Glass]

Standard Expert, FUNDI in all FITTING &amp;REPAIRS
- All Aluminium, UVPC  windows &amp;doors
-Shower…",Twitter for Android,0,63
9,2020-07-18 17:30:43,1284541122958827523,"RT @Simon_Ingari: New Vacanct Posts For Data Entry Clerks - https://t.co/TXBGyC22nt
#IkoKaziKe  #PataKaziKe #Gethired #JobSeekers ... https…",WapiKazi2.0,0,3
10,2020-07-18 17:16:43,1284537599173046272,"RT @johnnjenga: Job Vacancies
Assistang driver salesman - 6 posts
#IkoKaziKE https://t.co/Wa6lN5ofwm",Twitter for Android,0,235
